,CPU,MEM,throughput
0,0.1,64.0,517.21
1,0.1,64.0,521.33
2,0.1,64.0,510.55
3,0.1,64.0,512.59
4,0.1,64.0,494.36
5,0.1,64.0,504.39
6,0.1,64.0,515.02
7,0.1,64.0,511.96
8,0.1,64.0,505.27
9,0.1,64.0,498.38
10,0.1,64.0,518.89
11,0.1,64.0,504.47
12,0.1,64.0,501.83
13,0.1,64.0,518.22
14,0.1,64.0,506.46
15,0.1,64.0,502.0
16,0.1,64.0,511.85
17,0.1,64.0,511.77
18,0.1,64.0,507.38
19,0.1,64.0,507.22
20,0.2,64.0,1070.13
21,0.2,64.0,1081.82
22,0.2,64.0,1056.32
23,0.2,64.0,1069.98
24,0.2,64.0,1050.12
25,0.2,64.0,1061.73
26,0.2,64.0,1056.79
27,0.2,64.0,1073.94
28,0.2,64.0,1065.84
29,0.2,64.0,1056.8
30,0.2,64.0,1084.2
31,0.2,64.0,1042.6
32,0.2,64.0,1060.0
33,0.2,64.0,1047.32
34,0.2,64.0,1058.93
35,0.2,64.0,1043.98
36,0.2,64.0,1059.77
37,0.2,64.0,1061.22
38,0.2,64.0,1064.69
39,0.2,64.0,1057.55
40,0.3,64.0,1650.19
41,0.3,64.0,1629.04
42,0.3,64.0,1667.38
43,0.3,64.0,1647.9
44,0.3,64.0,1664.17
45,0.3,64.0,1636.5
46,0.3,64.0,1636.06
47,0.3,64.0,1626.12
48,0.3,64.0,1647.53
49,0.3,64.0,1645.81
50,0.3,64.0,1631.57
51,0.3,64.0,1641.66
52,0.3,64.0,1652.13
53,0.3,64.0,1627.05
54,0.3,64.0,1629.0
55,0.3,64.0,1615.07
56,0.3,64.0,1648.37
57,0.3,64.0,1643.84
58,0.3,64.0,1618.17
59,0.3,64.0,1641.43
60,0.4,64.0,2168.31
61,0.4,64.0,2179.07
62,0.4,64.0,2138.38
63,0.4,64.0,2182.74
64,0.4,64.0,2215.7
65,0.4,64.0,2210.33
66,0.4,64.0,2149.97
67,0.4,64.0,2139.59
68,0.4,64.0,2163.81
69,0.4,64.0,2161.38
70,0.4,64.0,2176.38
71,0.4,64.0,2193.06
72,0.4,64.0,2188.56
73,0.4,64.0,2176.45
74,0.4,64.0,2137.77
75,0.4,64.0,2186.18
76,0.4,64.0,2131.69
77,0.4,64.0,2186.33
78,0.4,64.0,2185.98
79,0.4,64.0,2180.39
80,0.5,64.0,2208.3
81,0.5,64.0,2178.71
