,CPU,throughput
0,0.1,49192.75
1,0.1,50082.85
2,0.1,49936.27
3,0.1,49879.74
4,0.1,47800.17
5,0.1,51561.0
6,0.1,51469.16
7,0.1,47738.7
8,0.1,49153.66
9,0.1,49892.66
10,0.1,49219.7
11,0.1,48351.95
12,0.1,50034.29
13,0.1,49116.86
14,0.1,48413.95
15,0.1,50768.23
16,0.1,50080.42
17,0.1,49159.0
18,0.1,50909.81
19,0.1,49406.36
20,0.1,49188.33
21,0.1,49851.72
22,0.1,50679.24
23,0.1,49316.38
24,0.1,48451.28
25,0.1,50021.3
26,0.1,50052.73
27,0.1,49932.78
28,0.1,49085.35
29,0.1,48418.07
30,0.1,49955.86
31,0.1,50078.37
32,0.1,50842.42
33,0.1,49928.75
34,0.1,49985.87
35,0.1,48620.21
36,0.1,48455.62
37,0.1,48461.54
38,0.1,48955.45
39,0.1,50045.72
40,0.1,49311.1
41,0.1,49903.78
42,0.1,50004.85
43,0.1,49186.37
44,0.1,48270.35
45,0.1,49312.82
46,0.1,48583.06
47,0.1,47135.32
48,0.1,49200.33
49,0.1,49387.44
50,0.1,50069.39
51,0.1,51714.93
52,0.1,48559.15
53,0.1,50762.11
54,0.1,49148.85
55,0.1,49041.19
56,0.1,49022.05
57,0.1,48389.49
58,0.1,49172.02
59,0.1,49801.97
60,0.1,50877.57
61,0.1,48642.77
62,0.1,49224.62
63,0.1,50928.21
64,0.1,49077.75
65,0.1,49986.93
66,0.1,49180.11
67,0.1,50023.02
68,0.1,48319.42
69,0.1,49902.52
70,0.1,49784.68
71,0.1,49855.21
72,0.1,49207.21
73,0.1,51657.46
74,0.1,49958.25
75,0.1,49304.88
76,0.1,48575.64
77,0.1,47636.27
78,0.1,50063.14
79,0.1,47112.29
80,0.2,117848.04
81,0.2,122651.32
82,0.2,118834.6
83,0.2,120104.32
84,0.2,120358.84
85,0.2,122101.42
86,0.2,119376.84
87,0.2,123099.68
88,0.2,120497.27
89,0.2,115597.25
90,0.2,118789.9
91,0.2,117351.59
92,0.2,121653.2
93,0.2,121806.68
94,0.2,121490.6
95,0.2,126181.93
96,0.2,120617.91
97,0.2,119015.85
98,0.2,120161.02
99,0.2,118269.16
100,0.2,119147.41
101,0.2,120019.38
102,0.2,124002.6
103,0.2,121640.69
104,0.2,117872.13
105,0.2,118820.43
106,0.2,115709.4
107,0.2,118717.67
108,0.2,117262.28
109,0.2,118996.07
110,0.2,120348.78
111,0.2,122512.3
112,0.2,118624.78
113,0.2,117294.9
114,0.2,118788.88
115,0.2,121732.13
116,0.2,123634.58
117,0.2,123318.43
118,0.2,116747.6
119,0.2,120127.3
120,0.2,120652.09
121,0.2,120598.6
122,0.2,117259.58
123,0.2,120688.42
124,0.2,117322.84
125,0.2,123620.57
126,0.2,122626.58
127,0.2,124117.69
128,0.2,120137.11
129,0.2,119161.32
130,0.2,119948.51
131,0.2,123878.16
132,0.2,116825.82
133,0.2,121686.38
134,0.2,118683.45
135,0.2,119420.17
136,0.2,118142.46
137,0.2,120674.76
138,0.2,121123.56
139,0.2,115667.51
140,0.2,118711.01
141,0.2,121642.39
142,0.2,121303.68
143,0.2,119588.87
144,0.2,116058.14
145,0.2,118189.91
146,0.2,123210.64
147,0.2,118012.12
148,0.2,121043.77
149,0.2,122656.27
150,0.2,117533.29
151,0.2,122461.73
152,0.2,117082.11
153,0.2,118917.07
