,CPU,throughput
0,0.1,132.54
1,0.1,133.82
2,0.1,134.81
3,0.1,133.44
4,0.1,132.43
5,0.1,133.74
6,0.1,134.17
7,0.1,134.36
8,0.1,137.48
9,0.1,134.37
10,0.1,133.55
11,0.1,134.26
12,0.1,135.46
13,0.1,133.35
14,0.1,136.41
15,0.1,135.32
16,0.1,136.48
17,0.1,135.44
18,0.1,134.18
19,0.1,136.24
20,0.1,134.62
21,0.1,133.63
22,0.1,141.08
23,0.1,134.91
24,0.1,134.3
25,0.1,134.41
26,0.1,137.36
27,0.1,138.89
28,0.1,135.44
29,0.1,134.77
30,0.1,134.34
31,0.1,135.67
32,0.1,134.68
33,0.1,132.72
34,0.1,135.79
35,0.1,134.72
36,0.1,134.52
37,0.1,133.37
38,0.1,134.95
39,0.1,133.57
40,0.1,132.82
41,0.1,133.56
42,0.1,134.26
43,0.1,136.28
44,0.1,134.62
45,0.1,134.29
46,0.1,133.93
47,0.1,137.01
48,0.1,136.11
49,0.1,134.6
50,0.1,135.42
51,0.1,135.72
52,0.1,133.91
53,0.1,136.05
54,0.1,134.61
55,0.1,137.29
56,0.1,136.87
57,0.1,135.81
58,0.1,134.36
59,0.1,134.82
60,0.1,137.69
61,0.1,137.88
62,0.1,133.49
63,0.1,134.48
64,0.1,133.35
65,0.1,136.74
66,0.1,135.19
67,0.1,136.06
68,0.1,134.03
69,0.1,135.5
70,0.1,134.89
71,0.1,133.02
72,0.1,135.2
73,0.1,135.51
74,0.1,135.73
75,0.1,135.99
76,0.1,135.46
77,0.1,135.02
78,0.1,138.72
79,0.1,135.65
80,0.2,332.7
81,0.2,335.28
82,0.2,328.37
83,0.2,330.07
84,0.2,327.89
85,0.2,330.36
86,0.2,331.34
87,0.2,335.41
88,0.2,326.58
89,0.2,324.9
90,0.2,332.28
91,0.2,334.65
92,0.2,332.34
93,0.2,334.27
94,0.2,330.07
95,0.2,330.94
96,0.2,330.51
97,0.2,327.13
98,0.2,337.43
99,0.2,330.74
100,0.2,331.51
101,0.2,336.99
102,0.2,332.08
103,0.2,333.74
104,0.2,336.69
105,0.2,331.07
106,0.2,334.73
107,0.2,332.42
108,0.2,332.75
109,0.2,326.5
110,0.2,332.09
111,0.2,329.07
112,0.2,340.54
113,0.2,332.92
114,0.2,333.63
115,0.2,327.87
116,0.2,333.36
117,0.2,346.84
118,0.2,328.75
119,0.2,332.44
120,0.2,328.76
121,0.2,333.07
122,0.2,329.59
123,0.2,330.83
124,0.2,332.42
125,0.2,332.51
126,0.2,339.21
127,0.2,333.95
128,0.2,331.49
129,0.2,334.86
130,0.2,329.58
131,0.2,323.63
132,0.2,331.41
133,0.2,328.4
134,0.2,328.75
135,0.2,331.91
136,0.2,327.09
137,0.2,330.46
138,0.2,326.68
139,0.2,330.02
140,0.2,330.15
141,0.2,329.31
142,0.2,330.08
143,0.2,330.33
144,0.2,336.31
145,0.2,332.75
146,0.2,330.74
147,0.2,334.44
148,0.2,324.28
149,0.2,340.92
150,0.2,329.89
151,0.2,331.77
152,0.2,330.68
153,0.2,334.85
154,0.2,333.45
155,0.2,330.02
156,0.2,332.25
157,0.2,334.38
158,0.2,335.09
159,0.2,325.68
160,0.3,538.14
161,0.3,532.12
162,0.3,530.87
163,0.3,547.75
164,0.3,528.29
165,0.3,535.57
166,0.3,535.02
167,0.3,518.2
168,0.3,539.69
169,0.3,525.24
170,0.3,513.22
171,0.3,549.91
172,0.3,532.22
173,0.3,542.53
174,0.3,524.92
175,0.3,522.24
176,0.3,529.47
177,0.3,524.92
178,0.3,523.82
179,0.3,537.52
180,0.3,543.14
181,0.3,523.47
182,0.3,535.17
183,0.3,526.24
184,0.3,526.97
185,0.3,535.12
186,0.3,554.75
187,0.3,519.68
188,0.3,523.0
189,0.3,537.32
190,0.3,524.41
191,0.3,519.08
192,0.3,519.66
193,0.3,519.55
194,0.3,535.42
195,0.3,516.8
196,0.3,518.64
197,0.3,531.19
198,0.3,530.11
199,0.3,542.42
200,0.3,538.03
201,0.3,539.21
202,0.3,533.94
203,0.3,527.94
204,0.3,558.04
205,0.3,549.85
206,0.3,533.09
207,0.3,523.51
208,0.3,522.62
209,0.3,536.64
210,0.3,534.03
211,0.3,522.13
212,0.3,527.99
213,0.3,525.47
214,0.3,534.34
215,0.3,521.07
216,0.3,523.12
217,0.3,526.86
218,0.3,525.03
219,0.3,537.5
220,0.3,539.38
221,0.3,527.01
222,0.3,523.18
223,0.3,526.77
224,0.3,526.08
225,0.3,530.23
226,0.3,531.14
227,0.3,530.96
228,0.3,519.99
229,0.3,526.8
230,0.3,529.69
231,0.3,530.55
232,0.3,528.97
233,0.3,519.21
234,0.3,546.38
235,0.3,531.71
236,0.3,525.65
237,0.3,526.52
238,0.3,527.64
239,0.3,520.29
240,0.4,778.8
241,0.4,924.64
242,0.4,869.4
243,0.4,806.78
244,0.4,802.2
245,0.4,776.74
246,0.4,807.86
247,0.4,749.1
248,0.4,785.33
249,0.4,818.5
250,0.4,818.07
251,0.4,795.64
252,0.4,829.79
253,0.4,799.08
254,0.4,797.73
