,CPU,throughput
0,0.1,114785.85
1,0.1,116672.1
2,0.1,112345.48
3,0.1,115348.88
4,0.1,113557.63
5,0.1,117143.78
6,0.1,116878.82
7,0.1,112682.26
8,0.1,115726.51
9,0.1,112903.15
10,0.1,116778.99
11,0.1,113696.24
12,0.1,115466.95
13,0.1,112351.44
14,0.1,115295.74
15,0.1,117026.6
16,0.1,113834.74
17,0.1,116671.45
18,0.1,116672.37
19,0.1,116626.15
20,0.1,115398.02
21,0.1,117586.14
22,0.1,113677.9
23,0.1,115293.52
24,0.1,115496.6
25,0.1,113589.31
26,0.1,115217.91
27,0.1,115833.17
28,0.1,114104.83
29,0.1,117529.78
30,0.1,112405.91
31,0.1,113678.55
32,0.1,115414.09
33,0.1,117067.56
34,0.1,115283.06
35,0.1,115356.64
36,0.1,113817.96
37,0.1,113940.21
38,0.1,117058.77
39,0.1,115366.17
40,0.1,117114.42
41,0.1,116753.54
42,0.1,114589.14
43,0.1,115792.09
44,0.1,114069.98
45,0.1,113930.71
46,0.1,113916.05
47,0.1,117806.78
48,0.1,115637.06
49,0.1,113764.22
50,0.1,113900.23
51,0.1,117124.26
52,0.1,116798.69
53,0.1,114786.44
54,0.1,116475.2
55,0.1,118553.39
56,0.1,115257.47
57,0.1,113862.25
58,0.1,116600.38
59,0.1,116498.1
60,0.1,115435.98
61,0.1,115512.2
62,0.1,120216.63
63,0.1,115235.01
64,0.1,115065.34
65,0.1,116794.89
66,0.1,117135.13
67,0.1,117088.1
68,0.1,113975.19
69,0.1,110342.09
70,0.1,112352.01
71,0.1,112324.66
72,0.1,113936.98
73,0.1,115296.74
74,0.1,112290.32
75,0.1,113955.13
76,0.1,115050.79
77,0.1,115072.37
78,0.1,116664.54
79,0.1,116584.64
80,0.2,270064.88
81,0.2,270600.17
82,0.2,
83,0.2,274035.93
84,0.2,273884.71
85,0.2,273782.46
86,0.2,275266.15
87,0.2,273236.15
88,0.2,278520.26
89,0.2,273024.11
90,0.2,272628.69
91,0.2,272512.49
92,0.2,271531.52
93,0.2,277896.37
94,0.2,273503.93
95,0.2,278467.44
96,0.2,273591.5
97,0.2,274316.27
98,0.2,269305.65
99,0.2,273265.69
100,0.2,278908.17
101,0.2,270380.94
102,0.2,270851.29
103,0.2,274522.79
104,0.2,270544.21
105,0.2,274368.23
106,0.2,274230.72
107,0.2,274805.98
108,0.2,273676.35
109,0.2,270644.3
110,0.2,270288.92
111,0.2,274603.46
112,0.2,270876.91
113,0.2,275093.86
114,0.2,274233.14
115,0.2,274058.43
116,0.2,269453.84
117,0.2,270764.48
118,0.2,271208.02
119,0.2,266172.31
120,0.2,273573.01
121,0.2,273080.69
122,0.2,275189.32
123,0.2,270159.18
124,0.2,270255.77
125,0.2,269413.62
126,0.2,274075.1
127,0.2,274203.37
128,0.2,270861.57
129,0.2,270864.35
130,0.2,271006.44
131,0.2,275742.01
132,0.2,270644.43
133,0.2,275154.99
134,0.2,270942.92
135,0.2,271718.71
136,0.2,270401.19
137,0.2,270189.81
138,0.2,270778.62
139,0.2,270081.15
140,0.2,265573.63
141,0.2,271070.22
142,0.2,274650.35
143,0.2,270322.07
144,0.2,272791.01
145,0.2,278431.73
146,0.2,277852.99
147,0.2,273018.59
148,0.2,271629.9
149,0.2,271200.5
150,0.2,271006.74
151,0.2,270416.64
152,0.2,273841.86
153,0.2,265020.25
154,0.2,272945.88
155,0.2,273993.04
156,0.2,270518.78
157,0.2,273942.11
158,0.2,273730.04
159,0.2,278088.38
160,0.3,433100.92
161,0.3,432752.83
162,0.3,429209.15
163,0.3,428729.41
164,0.3,424042.6
165,0.3,440145.49
166,0.3,434713.44
167,0.3,434250.0
168,0.3,434791.75
169,0.3,430063.41
170,0.3,434664.3
171,0.3,433601.48
172,0.3,434702.83
173,0.3,435243.25
174,0.3,433827.97
175,0.3,428935.62
176,0.3,429918.07
177,0.3,435006.37
178,0.3,429526.46
179,0.3,434405.98
180,0.3,428890.6
181,0.3,439702.65
182,0.3,429874.76
183,0.3,429620.13
184,0.3,434167.22
185,0.3,434636.97
186,0.3,434540.99
187,0.3,434983.02
188,0.3,429088.94
189,0.3,424664.48
190,0.3,439046.97
191,0.3,430057.54
192,0.3,429232.62
193,0.3,430034.71
194,0.3,434242.24
195,0.3,434247.97
196,0.3,428309.93
197,0.3,434119.47
198,0.3,434335.97
199,0.3,434005.03
200,0.3,436066.81
201,0.3,434501.41
202,0.3,434883.91
203,0.3,437758.88
204,0.3,438574.96
205,0.3,438745.99
206,0.3,434447.95
207,0.3,438324.4
208,0.3,434857.75
209,0.3,435226.99
210,0.3,434450.22
211,0.3,433775.13
212,0.3,429941.27
213,0.3,435524.28
214,0.3,434127.22
215,0.3,437941.96
216,0.3,438426.51
217,0.3,434266.04
218,0.3,430112.11
219,0.3,433849.28
220,0.3,430351.61
221,0.3,431507.06
222,0.3,434779.18
223,0.3,429181.26
224,0.3,435907.32
225,0.3,436585.91
226,0.3,435319.92
227,0.3,434682.45
228,0.3,436582.11
229,0.3,434221.37
230,0.3,439406.91
231,0.3,434680.65
232,0.3,434451.77
233,0.3,434905.33
234,0.3,433948.42
235,0.3,440427.85
