,CPU,throughput
0,0.1,517.21
1,0.1,521.33
2,0.1,510.55
3,0.1,512.59
4,0.1,494.36
5,0.1,504.39
6,0.1,515.02
7,0.1,511.96
8,0.1,505.27
9,0.1,498.38
10,0.1,518.89
11,0.1,504.47
12,0.1,501.83
13,0.1,518.22
14,0.1,506.46
15,0.1,502.0
16,0.1,511.85
17,0.1,511.77
18,0.1,507.38
19,0.1,507.22
20,0.1,516.81
21,0.1,493.6
22,0.1,519.22
23,0.1,514.01
24,0.1,518.83
25,0.1,518.83
26,0.1,513.3
27,0.1,507.5
28,0.1,499.25
29,0.1,507.14
30,0.1,518.2
31,0.1,503.86
32,0.1,515.9
33,0.1,512.08
34,0.1,514.93
35,0.1,514.63
36,0.1,511.3
37,0.1,512.09
38,0.1,506.9
39,0.1,510.85
40,0.1,518.43
41,0.1,502.72
42,0.1,514.44
43,0.1,506.14
44,0.1,501.78
45,0.1,519.02
46,0.1,514.87
47,0.1,509.82
48,0.1,512.83
49,0.1,513.24
50,0.1,507.73
51,0.1,513.06
52,0.1,507.45
53,0.1,513.28
54,0.1,511.67
55,0.1,516.04
56,0.1,503.23
57,0.1,509.09
58,0.1,517.37
59,0.1,515.15
60,0.1,514.33
61,0.1,516.14
62,0.1,503.18
63,0.1,528.04
64,0.1,519.1
65,0.1,511.91
66,0.1,513.17
67,0.1,499.56
68,0.1,521.39
69,0.1,519.05
70,0.1,519.96
71,0.1,509.3
72,0.1,515.72
73,0.1,521.9
74,0.1,522.66
75,0.1,502.35
76,0.1,506.11
77,0.1,508.46
78,0.1,517.59
79,0.1,508.47
80,0.2,1070.13
81,0.2,1081.82
82,0.2,1056.32
83,0.2,1069.98
84,0.2,1050.12
85,0.2,1061.73
86,0.2,1056.79
87,0.2,1073.94
88,0.2,1065.84
89,0.2,1056.8
90,0.2,1084.2
91,0.2,1042.6
92,0.2,1060.0
93,0.2,1047.32
94,0.2,1058.93
95,0.2,1043.98
96,0.2,1059.77
97,0.2,1061.22
98,0.2,1064.69
99,0.2,1057.55
100,0.2,1086.78
101,0.2,1060.13
102,0.2,1070.42
103,0.2,1068.28
104,0.2,1077.89
105,0.2,1079.08
106,0.2,1079.61
107,0.2,1080.29
108,0.2,1083.09
109,0.2,1088.15
110,0.2,1074.02
111,0.2,1074.44
112,0.2,1058.67
113,0.2,1050.63
114,0.2,1074.6
115,0.2,1044.31
116,0.2,1063.67
117,0.2,1061.16
118,0.2,1084.82
119,0.2,1083.13
120,0.2,1051.06
121,0.2,1073.2
122,0.2,1080.76
123,0.2,1067.4
124,0.2,1082.9
125,0.2,1055.62
126,0.2,1060.38
127,0.2,1057.14
128,0.2,1036.08
129,0.2,1057.65
130,0.2,1078.23
131,0.2,1070.45
132,0.2,1077.09
133,0.2,1068.92
134,0.2,1066.64
135,0.2,1076.28
136,0.2,1050.37
137,0.2,1062.83
138,0.2,1069.96
139,0.2,1088.45
140,0.2,1077.29
141,0.2,1088.33
142,0.2,1079.21
143,0.2,1068.0
144,0.2,1069.92
145,0.2,1070.42
146,0.2,1059.21
147,0.2,1080.87
148,0.2,1064.34
149,0.2,1073.62
150,0.2,1067.61
151,0.2,1056.97
152,0.2,1082.18
153,0.2,1070.24
154,0.2,1080.74
155,0.2,1069.4
156,0.2,1071.19
157,0.2,1055.86
158,0.2,1072.64
159,0.2,1062.08
160,0.3,1650.19
161,0.3,1629.04
162,0.3,1667.38
163,0.3,1647.9
164,0.3,1664.17
165,0.3,1636.5
166,0.3,1636.06
167,0.3,1626.12
168,0.3,1647.53
169,0.3,1645.81
170,0.3,1631.57
171,0.3,1641.66
172,0.3,1652.13
173,0.3,1627.05
174,0.3,1629.0
175,0.3,1615.07
176,0.3,1648.37
177,0.3,1643.84
178,0.3,1618.17
179,0.3,1641.43
180,0.3,1621.28
181,0.3,1646.96
182,0.3,1647.24
183,0.3,1652.96
184,0.3,1641.52
185,0.3,1636.49
186,0.3,1644.56
187,0.3,1652.35
188,0.3,1683.32
189,0.3,1660.85
190,0.3,1650.29
191,0.3,1624.32
192,0.3,1651.24
193,0.3,1663.47
194,0.3,1595.57
195,0.3,1615.73
196,0.3,1643.56
197,0.3,1643.28
198,0.3,1636.93
199,0.3,1673.57
200,0.3,1652.16
201,0.3,1644.75
202,0.3,1644.95
203,0.3,1640.29
204,0.3,1630.56
205,0.3,1622.09
206,0.3,1659.01
207,0.3,1661.56
208,0.3,1636.4
209,0.3,1655.07
210,0.3,1654.79
211,0.3,1645.44
212,0.3,1654.59
213,0.3,1641.85
214,0.3,1655.55
215,0.3,1624.16
216,0.3,1654.51
217,0.3,1646.31
218,0.3,1657.63
219,0.3,1647.0
220,0.3,1647.64
221,0.3,1675.65
222,0.3,1654.97
223,0.3,1660.3
224,0.3,1640.35
225,0.3,1638.18
226,0.3,1642.95
227,0.3,1708.68
228,0.3,1686.26
229,0.3,1646.05
230,0.3,1686.09
231,0.3,1660.93
232,0.3,1651.61
233,0.3,1636.75
234,0.3,1656.19
235,0.3,1634.37
236,0.3,1657.3
237,0.3,1639.57
238,0.3,1672.59
239,0.3,1606.91
240,0.4,2168.31
241,0.4,2179.07
242,0.4,2138.38
243,0.4,2182.74
244,0.4,2215.7
245,0.4,2210.33
246,0.4,2149.97
247,0.4,2139.59
248,0.4,2163.81
249,0.4,2161.38
250,0.4,2176.38
251,0.4,2193.06
252,0.4,2188.56
253,0.4,2176.45
254,0.4,2137.77
255,0.4,2186.18
256,0.4,2131.69
257,0.4,2186.33
258,0.4,2185.98
259,0.4,2180.39
260,0.4,2120.59
261,0.4,2160.48
262,0.4,2164.06
263,0.4,2182.73
264,0.4,2162.83
265,0.4,2177.09
266,0.4,2149.16
267,0.4,2167.31
268,0.4,2169.98
269,0.4,2155.83
270,0.4,2156.1
271,0.4,2184.45
272,0.4,2170.54
273,0.4,2201.99
274,0.4,2159.55
275,0.4,2159.08
276,0.4,2198.58
277,0.4,2158.34
278,0.4,2186.04
279,0.4,2135.84
280,0.4,2182.11
281,0.4,2152.23
282,0.4,2206.05
283,0.4,2172.31
284,0.4,2164.23
285,0.4,2149.73
286,0.4,2190.66
287,0.4,2191.14
288,0.4,2210.11
289,0.4,2213.77
290,0.4,2178.03
291,0.4,2190.74
292,0.4,2172.44
