,CPU,throughput
0,0.1,30145.82
1,0.1,30138.07
2,0.1,31626.74
3,0.1,30526.84
4,0.1,30213.15
5,0.1,30721.06
6,0.1,30168.28
7,0.1,31214.65
8,0.1,29729.52
9,0.1,30129.41
10,0.1,30162.16
11,0.1,30627.73
12,0.1,30169.47
13,0.1,30188.74
14,0.1,30101.38
15,0.1,30648.73
16,0.1,30743.42
17,0.1,31052.18
18,0.1,32162.02
19,0.1,30211.68
20,0.1,30628.72
21,0.1,31215.78
22,0.1,31215.89
23,0.1,30982.07
24,0.1,30621.74
25,0.1,30146.07
26,0.1,30988.11
27,0.1,30571.25
28,0.1,30605.2
29,0.1,31188.15
30,0.1,31118.37
31,0.1,30688.4
32,0.1,30626.51
33,0.1,30115.18
34,0.1,30673.47
35,0.1,31089.31
36,0.1,30134.25
37,0.1,30116.36
38,0.1,30646.03
39,0.1,31069.73
40,0.1,30369.54
41,0.1,30680.82
42,0.1,30641.14
43,0.1,30116.88
44,0.1,31245.73
45,0.1,30198.15
46,0.1,31131.39
47,0.1,30791.15
48,0.1,30586.41
49,0.1,30210.47
50,0.1,31639.55
51,0.1,31220.9
52,0.1,30176.76
53,0.1,30753.52
54,0.1,31053.27
55,0.1,31048.33
56,0.1,31567.91
57,0.1,30701.1
58,0.1,30236.12
59,0.1,31239.81
60,0.1,29739.78
61,0.1,30642.19
62,0.1,30464.5
63,0.1,30519.85
64,0.1,30863.14
65,0.1,30836.07
66,0.1,31971.06
67,0.1,30685.48
68,0.1,30754.54
69,0.1,30755.46
70,0.1,29752.19
71,0.1,29795.44
72,0.1,30644.79
73,0.1,31054.61
74,0.1,31506.36
75,0.1,30218.51
76,0.1,31195.01
77,0.1,31777.23
78,0.1,30572.54
79,0.1,30715.97
80,0.2,73322.17
81,0.2,72501.59
82,0.2,71710.59
83,0.2,73634.21
84,0.2,71468.25
85,0.2,71729.61
86,0.2,71968.6
87,0.2,71792.6
88,0.2,73471.33
89,0.2,71493.82
90,0.2,72439.76
91,0.2,72436.87
92,0.2,73173.77
93,0.2,72436.23
94,0.2,70477.95
95,0.2,72041.28
96,0.2,72792.96
97,0.2,71400.0
98,0.2,71824.69
99,0.2,71275.41
100,0.2,70411.3
101,0.2,73111.03
102,0.2,73377.53
103,0.2,72399.52
104,0.2,71706.43
105,0.2,72223.35
106,0.2,71699.61
107,0.2,71807.32
108,0.2,71340.41
109,0.2,71661.17
110,0.2,73626.19
111,0.2,71514.37
112,0.2,70492.71
113,0.2,71299.05
114,0.2,71633.39
115,0.2,72505.81
116,0.2,72456.3
117,0.2,71473.01
118,0.2,71308.76
119,0.2,73223.7
120,0.2,70658.7
121,0.2,71810.23
122,0.2,72005.17
123,0.2,71991.81
124,0.2,71543.35
125,0.2,72306.13
126,0.2,73793.62
127,0.2,71828.2
128,0.2,72471.07
129,0.2,71493.51
130,0.2,70577.96
131,0.2,73086.97
132,0.2,72208.04
133,0.2,72337.85
134,0.2,72438.55
135,0.2,72518.03
136,0.2,72886.51
137,0.2,71393.93
138,0.2,71668.54
139,0.2,73318.36
140,0.2,73188.95
141,0.2,71763.99
142,0.2,70693.98
143,0.2,71893.22
144,0.2,73490.51
145,0.2,71277.93
146,0.2,70481.83
147,0.2,71963.66
148,0.2,71401.29
149,0.2,70823.14
150,0.2,72007.4
151,0.2,72162.92
152,0.2,72303.0
153,0.2,72543.92
154,0.2,71268.73
155,0.2,72125.71
156,0.2,72231.24
157,0.2,73882.5
158,0.2,71319.98
159,0.2,71701.36
160,0.3,114683.27
161,0.3,112352.22
162,0.3,112634.69
163,0.3,113930.73
164,0.3,114494.31
165,0.3,115424.39
166,0.3,112109.47
167,0.3,112437.7
168,0.3,110711.9
169,0.3,111726.38
170,0.3,113968.43
171,0.3,116058.18
172,0.3,115087.25
173,0.3,115584.37
174,0.3,111297.73
175,0.3,114689.71
176,0.3,114000.15
177,0.3,118474.08
178,0.3,116738.32
179,0.3,114082.29
180,0.3,113518.0
181,0.3,112225.09
182,0.3,115934.12
183,0.3,115293.88
184,0.3,113889.11
185,0.3,115587.25
186,0.3,116396.66
187,0.3,112766.38
188,0.3,111876.79
189,0.3,113649.74
190,0.3,117654.67
191,0.3,111432.9
192,0.3,115211.43
193,0.3,115569.29
194,0.3,111846.45
195,0.3,115669.3
196,0.3,113545.13
197,0.3,112405.44
198,0.3,113750.35
199,0.3,116039.83
200,0.3,108748.27
201,0.3,113740.23
