,CPU,throughput
0,0.1,248.58
1,0.1,239.79
2,0.1,243.37
3,0.1,246.51
4,0.1,243.09
5,0.1,244.07
6,0.1,241.1
7,0.1,246.3
8,0.1,244.68
9,0.1,243.23
10,0.1,239.93
11,0.1,247.18
12,0.1,245.53
13,0.1,244.33
14,0.1,248.12
15,0.1,246.18
16,0.1,241.96
17,0.1,242.2
18,0.1,245.65
19,0.1,245.67
20,0.1,252.67
21,0.1,248.78
22,0.1,250.14
23,0.1,247.28
24,0.1,245.35
25,0.1,243.13
26,0.1,243.29
27,0.1,242.02
28,0.1,248.76
29,0.1,246.35
30,0.1,243.92
31,0.1,248.92
32,0.1,247.28
33,0.1,240.72
34,0.1,247.37
35,0.1,247.12
36,0.1,252.18
37,0.1,245.16
38,0.1,248.33
39,0.1,244.55
40,0.1,247.1
41,0.1,247.9
42,0.1,245.52
43,0.1,249.62
44,0.1,252.34
45,0.1,249.71
46,0.1,250.38
47,0.1,250.02
48,0.1,250.56
49,0.1,251.61
50,0.1,246.08
51,0.1,242.23
52,0.1,242.51
53,0.1,250.51
54,0.1,250.3
55,0.1,242.71
56,0.1,249.67
57,0.1,248.03
58,0.1,249.86
59,0.1,246.57
60,0.1,250.14
61,0.1,243.57
62,0.1,241.88
63,0.1,247.0
64,0.1,245.61
65,0.1,248.94
66,0.1,248.44
67,0.1,249.74
68,0.1,245.64
69,0.1,245.28
70,0.1,240.51
71,0.1,248.03
72,0.1,249.42
73,0.1,246.98
74,0.1,247.93
75,0.1,245.75
76,0.1,243.81
77,0.1,249.81
78,0.1,245.1
79,0.1,243.05
80,0.2,593.06
81,0.2,574.97
82,0.2,586.47
83,0.2,584.69
84,0.2,578.07
85,0.2,581.61
86,0.2,573.59
87,0.2,570.34
88,0.2,582.89
89,0.2,573.19
90,0.2,574.57
91,0.2,571.86
92,0.2,579.35
93,0.2,575.99
94,0.2,570.51
95,0.2,577.94
96,0.2,576.75
97,0.2,586.41
98,0.2,565.91
99,0.2,576.21
100,0.2,577.8
101,0.2,574.08
102,0.2,584.11
103,0.2,566.58
104,0.2,580.21
105,0.2,554.23
106,0.2,575.02
107,0.2,586.54
108,0.2,582.3
109,0.2,573.79
110,0.2,585.26
111,0.2,576.3
112,0.2,583.71
113,0.2,588.89
114,0.2,573.6
115,0.2,574.78
116,0.2,580.93
117,0.2,582.21
118,0.2,585.44
119,0.2,577.42
120,0.2,586.81
121,0.2,591.75
122,0.2,584.23
123,0.2,576.68
124,0.2,576.11
125,0.2,579.07
126,0.2,582.45
127,0.2,576.2
128,0.2,577.99
129,0.2,583.11
130,0.2,580.62
131,0.2,584.7
132,0.2,570.34
133,0.2,573.63
134,0.2,576.93
135,0.2,573.9
136,0.2,584.04
137,0.2,577.44
138,0.2,578.79
139,0.2,585.58
140,0.2,576.62
141,0.2,588.0
142,0.2,569.81
143,0.2,579.12
144,0.2,580.58
145,0.2,577.4
146,0.2,587.52
147,0.2,570.61
148,0.2,572.6
149,0.2,577.92
150,0.2,578.55
151,0.2,583.05
152,0.2,574.18
153,0.2,575.93
154,0.2,578.31
155,0.2,576.36
156,0.2,575.84
157,0.2,577.2
158,0.2,583.93
159,0.2,567.78
160,0.3,915.41
161,0.3,910.83
162,0.3,911.51
163,0.3,888.4
164,0.3,882.76
165,0.3,898.41
166,0.3,873.42
167,0.3,888.12
168,0.3,900.94
169,0.3,910.91
170,0.3,910.18
171,0.3,910.84
172,0.3,929.64
173,0.3,892.17
174,0.3,920.15
175,0.3,911.02
176,0.3,926.32
177,0.3,911.12
178,0.3,916.37
179,0.3,911.18
180,0.3,925.71
181,0.3,909.04
182,0.3,908.74
183,0.3,897.11
184,0.3,907.29
185,0.3,920.27
186,0.3,893.58
187,0.3,933.05
188,0.3,916.41
189,0.3,909.38
190,0.3,898.92
191,0.3,924.51
192,0.3,907.83
193,0.3,919.95
194,0.3,927.98
195,0.3,922.0
196,0.3,927.22
197,0.3,914.07
198,0.3,902.27
199,0.3,922.08
200,0.3,920.34
201,0.3,933.8
202,0.3,919.16
203,0.3,901.91
204,0.3,898.77
205,0.3,901.97
206,0.3,904.33
207,0.3,919.15
208,0.3,921.62
209,0.3,906.28
210,0.3,905.59
211,0.3,904.69
212,0.3,908.64
213,0.3,912.5
214,0.3,915.65
215,0.3,893.13
216,0.3,909.51
217,0.3,890.68
218,0.3,911.07
219,0.3,908.88
220,0.3,914.25
221,0.3,897.69
222,0.3,931.25
223,0.3,895.05
224,0.3,926.16
225,0.3,924.17
226,0.3,916.97
227,0.3,917.44
228,0.3,907.65
229,0.3,911.6
230,0.3,920.49
231,0.3,899.23
232,0.3,925.14
233,0.3,898.39
234,0.3,909.13
235,0.3,914.65
236,0.3,909.13
237,0.3,917.74
238,0.3,904.4
239,0.3,907.22
240,0.4,1224.6
241,0.4,1243.08
242,0.4,1226.8
243,0.4,1242.26
244,0.4,1265.82
