topology,vnf1cpu,vnf2cpu,vnf3cpu,throughput
nx-sc-sq,0.16,0.64,0.64,134028.4
nx-sc-sq,0.16,0.64,1,131123.94
nx-sc-sq,0.64,0.16,1,71830.73
nx-sc-sq,1,0.16,0.32,70274.05
nx-sc-sq,0.32,0.64,0.64,289443.26
nx-sc-sq,0.16,0.16,0.64,74075.87
nx-sc-sq,1,0.16,0.32,71434.81
nx-sc-sq,0.32,0.32,1,160597.55
nx-sc-sq,1,0.16,0.32,73981
nx-sc-sq,0.32,1,0.32,278727.55
nx-sc-sq,0.64,0.16,0.64,71194.96
nx-sc-sq,0.64,0.64,0.16,180263.68
nx-sc-sq,0.16,0.16,1,74812.09
nx-sc-sq,0.32,1,1,297077.63
nx-sc-sq,1,0.32,0.32,159642.57
nx-sc-sq,1,0.16,0.32,71493.78
nx-sc-sq,0.16,1,0.64,132582.89
nx-sc-sq,0.32,0.32,0.32,161146.72
nx-sc-sq,1,0.32,0.64,163620.6
nx-sc-sq,1,0.32,0.32,164687.13
nx-sc-sq,0.64,0.32,0.64,159392.87
nx-sc-sq,0.32,1,0.32,288599.8
nx-sc-sq,0.32,1,0.64,285709.41
nx-sc-sq,0.16,0.32,0.32,130741.89
nx-sc-sq,0.32,0.16,0.16,69596.38
nx-sc-sq,0.32,1,0.16,181130.27
nx-sc-sq,0.16,0.64,0.32,134489.07
nx-sc-sq,0.16,0.32,1,132965.6
nx-sc-sq,0.32,0.16,0.64,72044.2
nx-sc-sq,0.32,0.16,0.64,70116.99
nx-sc-sq,0.16,0.64,1,135130.03
nx-sc-sq,0.64,0.32,1,163128.7
nx-sc-sq,0.64,0.64,0.32,336540.19
nx-sc-sq,0.16,0.32,0.32,131350.94
nx-sc-sq,0.64,1,0.16,188142
nx-sc-sq,0.32,0.64,0.32,290834.13
nx-sc-sq,0.32,0.64,0.32,282546.3
nx-sc-sq,0.32,0.16,1,71842.78
nx-sc-sq,0.32,0.32,1,159865.34
nx-sc-sq,0.32,0.64,0.32,284370.94
nx-sc-sq,0.64,0.16,0.64,68889.68
nx-sc-sq,0.16,0.32,0.16,130940.72
nx-sc-sq,0.32,0.16,0.64,68675.79
nx-sc-sq,0.32,0.16,0.32,71658.71
nx-sc-sq,0.32,0.16,0.32,69595.41
nx-sc-sq,0.16,0.64,0.64,113296.77
nx-sc-sq,0.32,0.32,0.64,157477.3
nx-sc-sq,1,0.16,0.32,72739.98
nx-sc-sq,0.16,0.16,0.16,73261.18
nx-sc-sq,0.16,0.32,0.16,140930.38
nx-sc-sq,0.32,0.16,1,72035.26
nx-sc-sq,0.32,0.64,0.32,281720.55
nx-sc-sq,0.32,1,0.64,275494.86
nx-sc-sq,0.32,0.32,1,157468.03
nx-sc-sq,0.16,1,0.64,141305.85
nx-sc-sq,0.32,0.32,0.16,162653.32
nx-sc-sq,1,1,0.16,183440.77
nx-sc-sq,0.64,0.16,0.32,72046.34
nx-sc-sq,0.16,1,0.16,145047.45
nx-sc-sq,0.64,0.16,0.64,72836.07
nx-sc-sq,0.64,0.64,0.16,182805.8
nx-sc-sq,0.64,0.64,1,346651.56
nx-sc-sq,1,1,0.16,181453.25
nx-sc-sq,0.64,0.16,0.16,73670.35
nx-sc-sq,0.32,0.32,0.64,157075.93
nx-sc-sq,0.32,0.64,0.16,180608.52
nx-sc-sq,0.16,0.32,1,131764.15
nx-sc-sq,1,0.32,0.32,160122.82
nx-sc-sq,0.16,0.64,1,135876.13
nx-sc-sq,0.32,1,0.32,201771.04
nx-sc-sq,0.16,0.64,0.32,131352.72
nx-sc-sq,1,0.64,0.16,182793.49
nx-sc-sq,0.16,1,0.16,129926.39
nx-sc-sq,1,0.64,0.16,184290.07
nx-sc-sq,1,0.16,0.16,72150.28
nx-sc-sq,0.16,0.16,0.64,73248.8
nx-sc-sq,1,1,0.64,457469.79
nx-sc-sq,0.16,1,0.32,138252.97
nx-sc-sq,1,1,1,461700.57
nx-sc-sq,0.32,0.32,1,159377.72
nx-sc-sq,1,0.32,1,156265.93
nx-sc-sq,0.64,0.64,1,343133.39
nx-sc-sq,0.64,1,0.64,409126.7
nx-sc-sq,0.64,1,1,432006.06
nx-sc-sq,0.32,0.64,1,289038.45
nx-sc-sq,0.32,1,0.32,278254.19
nx-sc-sq,1,0.64,0.32,343214.21
nx-sc-sq,1,0.64,0.64,340939.61
nx-sc-sq,0.16,0.32,0.64,136217.94
nx-sc-sq,0.16,1,0.64,138004.81
nx-sc-sq,0.64,0.64,0.64,337221.04
nx-sc-sq,0.64,1,0.32,412123.87
nx-sc-sq,1,0.16,0.64,70587.35
nx-sc-sq,1,0.64,1,352883.27
nx-sc-sq,0.64,0.64,1,344851.28
nx-sc-sq,0.16,0.16,1,72831.39
nx-sc-sq,0.64,0.16,0.16,70533.23
nx-sc-sq,0.16,0.64,0.64,136239.37
nx-sc-sq,0.64,0.64,0.16,181391.91
nx-sc-sq,0.16,0.64,1,132155.51
